"City1";"Country1";"City2";"Country2";"Year";"k50";"k100";"k150";"k200";"H1";"H2";"Hboth"
"Stevns Municipality";"Denmark";"Modum";"Norway";"0";"0";"1";"1";"1";0;0;0
"Vejle";"Denmark";"Molde";"Norway";"0";"0";"0";"0";"0";0;0;0
"Moss";"Norway";"Horsens Municipality";"Denmark";"0";"1";"1";"1";"1";0;0;0
"Lolland";"Denmark";"Namsos";"Norway";"0";"0";"0";"0";"0";0;0;0
"Egedal";"Denmark";"Nedre Eiker";"Norway";"0";"0";"1";"1";"1";0;0;0
"Vordingborg";"Denmark";"Nordre Land";"Norway";"0";"0";"0";"1";"1";0;0;0
"Viborg Municipality";"Denmark";"Nore og Uvdal";"Norway";"0";"0";"0";"0";"0";0;0;0
"Nykobing Falster";"Denmark";"Notodden";"Norway";"0";"0";"1";"1";"1";0;0;0
"Jammerbugt";"Denmark";"Oppdal";"Norway";"0";"0";"0";"0";"0";0;0;0
"Sonderborg";"Denmark";"Orkdal";"Norway";"0";"0";"0";"0";"0";0;0;0
"Copenhagen";"Denmark";"Oslo";"Norway";"0";"1";"1";"1";"1";0;0;0
"Kerteminde";"Denmark";"Ovre Eiker";"Norway";"0";"0";"1";"1";"1";0;0;0
"Faaborg";"Denmark";"Porsgrunn";"Norway";"0";"1";"1";"1";"1";0;0;0
"Sonderborg";"Denmark";"Porsgrunn";"Norway";"0";"1";"1";"1";"1";0;0;0
"Logstor";"Denmark";"Rana";"Norway";"0";"0";"0";"0";"0";0;0;0
"Vesthimmerland";"Denmark";"Rennebu";"Norway";"0";"0";"0";"0";"0";0;0;0
"Aabenraa Municipality";"Denmark";"Ringerike";"Norway";"0";"0";"1";"1";"1";0;0;0
"Jammerbugt";"Denmark";"Rissa";"Norway";"0";"0";"0";"0";"0";0;0;0
"Vordingborg";"Denmark";"Roros";"Norway";"0";"0";"0";"0";"0";0;0;0
"Nyborg";"Denmark";"Sandnes";"Norway";"0";"0";"0";"0";"0";0;0;0
"Struer Municipality";"Denmark";"Sarpsborg";"Norway";"1947";"0";"1";"1";"1";0;0;0
"Ikast-Brande Municipality";"Denmark";"Sigdal";"Norway";"0";"0";"0";"1";"1";0;0;0
"Solrod";"Denmark";"Skaun";"Norway";"0";"0";"0";"0";"0";0;0;0
"Tarnby";"Denmark";"Skedsmo";"Norway";"0";"1";"1";"1";"1";0;0;0
"Ski Municipality";"Norway";"Gladsaxe Municipality";"Denmark";"1955";"1";"1";"1";"1";0;0;0
"Thisted";"Denmark";"Skien";"Norway";"1947";"1";"1";"1";"1";0;0;0
"Struer Municipality";"Denmark";"Spydeberg";"Norway";"0";"0";"1";"1";"1";0;0;0
"Brondby";"Denmark";"Stange";"Norway";"1967";"0";"0";"1";"1";0;0;0
"Stavanger";"Norway";"Esbjerg Municipality";"Denmark";"1947";"0";"0";"0";"0";0;0;0
"Hammel";"Denmark";"Steinkjer";"Norway";"0";"0";"0";"0";"0";0;0;0
"Broby";"Denmark";"Stjordal";"Norway";"0";"0";"0";"0";"0";0;0;0
"Bogense";"Denmark";"Svelvik";"Norway";"1949";"1";"1";"1";"1";0;0;0
"Roskilde Municipality";"Denmark";"Tonsberg";"Norway";"1994";"1";"1";"1";"1";0;0;0
"Trondheim";"Norway";"Odense Municipality";"Denmark";"1946";"0";"0";"0";"0";0;0;0
"Odder";"Denmark";"Vennesla";"Norway";"0";"1";"1";"1";"1";0;0;0
"Norddjurs";"Denmark";"Verdal";"Norway";"0";"0";"0";"0";"0";0;0;0
"Nakskov";"Denmark";"Alsfeld";"WestGER";"1963";"0";"0";"0";"0";0;0;0
"Gladsaxe Municipality";"Denmark";"Berlin";"WestGER";"1968";"0";"0";"0";"1";0;1;1
"Brondby";"Denmark";"Steglitz-Zehlendorf, Berlin";"WestGER";"1968";"0";"0";"0";"1";0;0;0
